EmployeeID;Attrition;retirementDate;retirementType;resignationReason
2166;Yes;27/08/2016;Resignation;Others
2179;Yes;03/10/2016;Resignation;Others
2188;Yes;03/03/2016;Resignation;Stress
2193;Yes;08/07/2016;Resignation;Others
2194;Yes;20/07/2016;Fired;NA
2198;Yes;28/04/2016;Resignation;Others
2210;Yes;16/06/2016;Fired;NA
2219;Yes;19/07/2016;Resignation;Stress
2220;Yes;27/07/2016;Resignation;Others
2225;Yes;31/07/2016;Fired;NA
2229;Yes;08/04/2016;Resignation;Others
2234;Yes;11/05/2016;Fired;NA
2244;Yes;16/02/2016;Resignation;Others
2245;Yes;05/07/2016;Resignation;Salary
2246;Yes;29/09/2016;Resignation;Stress
2249;Yes;18/03/2016;Resignation;Others
2252;Yes;03/04/2016;Resignation;Others
2269;Yes;13/07/2016;Resignation;Others
2270;Yes;15/09/2016;Resignation;Stress
2271;Yes;26/11/2016;Fired;NA
2273;Yes;24/05/2016;Fired;NA
2281;Yes;07/10/2016;Resignation;Stress
2290;Yes;01/05/2016;Resignation;Stress
2296;Yes;01/10/2016;Resignation;Others
2298;Yes;03/05/2016;Resignation;Salary
2319;Yes;07/01/2016;Resignation;Stress
2323;Yes;30/05/2016;Resignation;Stress
2324;Yes;27/09/2016;Resignation;Others
2325;Yes;11/03/2016;Resignation;Salary
2349;Yes;27/01/2016;Resignation;Others
2366;Yes;18/04/2016;Resignation;Others
2375;Yes;29/02/2016;Resignation;Others
2380;Yes;11/02/2016;Resignation;Salary
2384;Yes;31/01/2016;Resignation;Others
2399;Yes;04/01/2016;Resignation;Stress
2414;Yes;09/11/2016;Resignation;Salary
2417;Yes;07/03/2016;Resignation;Others
2418;Yes;04/06/2016;Resignation;Stress
2426;Yes;20/11/2016;Resignation;Salary
2435;Yes;10/08/2016;Resignation;Salary
2436;Yes;13/05/2016;Resignation;Salary
2449;Yes;28/01/2016;Resignation;Others
2450;Yes;22/04/2016;Fired;NA
2459;Yes;06/04/2016;Resignation;Salary
2462;Yes;23/11/2016;Resignation;Stress
2468;Yes;03/07/2016;Resignation;Others
2470;Yes;12/09/2016;Fired;NA
2475;Yes;01/09/2016;Resignation;Salary
2484;Yes;06/01/2016;Resignation;Others
2486;Yes;07/01/2016;Resignation;Salary
2492;Yes;02/02/2016;Resignation;Stress
2494;Yes;02/03/2016;Resignation;Salary
2503;Yes;16/07/2016;Resignation;Others
2504;Yes;12/08/2016;Resignation;Others
2510;Yes;05/10/2016;Resignation;Salary
2511;Yes;18/08/2016;Resignation;Salary
2525;Yes;12/08/2016;Resignation;Salary
2526;Yes;23/01/2016;Resignation;Others
2539;Yes;20/10/2016;Fired;NA
2545;Yes;22/06/2016;Resignation;Stress
2546;Yes;16/04/2016;Resignation;Others
2551;Yes;17/11/2016;Resignation;Others
2552;Yes;03/10/2016;Resignation;Others
2566;Yes;05/01/2016;Resignation;Others
2567;Yes;27/11/2016;Fired;NA
2578;Yes;21/10/2016;Resignation;Salary
2582;Yes;17/02/2016;Resignation;Others
2588;Yes;08/05/2016;Resignation;Others
2592;Yes;29/05/2016;Resignation;Others
2603;Yes;14/07/2016;Resignation;Others
2608;Yes;29/11/2016;Resignation;Salary
2609;Yes;19/03/2016;Fired;NA
2651;Yes;17/06/2016;Fired;NA
2655;Yes;03/12/2016;Resignation;Stress
2657;Yes;10/02/2016;Resignation;Stress
2665;Yes;13/05/2016;Resignation;Others
2674;Yes;26/06/2016;Resignation;Salary
2683;Yes;13/12/2016;Resignation;Others
2685;Yes;23/06/2016;Resignation;Others
2697;Yes;29/07/2016;Resignation;Others
2704;Yes;13/07/2016;Resignation;Salary
2707;Yes;01/05/2016;Resignation;Others
2709;Yes;01/07/2016;Resignation;Salary
2716;Yes;12/04/2016;Resignation;Others
2717;Yes;20/02/2016;Fired;NA
2719;Yes;13/04/2016;Resignation;Others
2725;Yes;07/05/2016;Fired;NA
2728;Yes;07/04/2016;Resignation;Others
2733;Yes;02/11/2016;Resignation;Others
2734;Yes;04/09/2016;Resignation;Others
2752;Yes;13/08/2016;Resignation;Salary
2772;Yes;30/11/2016;Resignation;Others
2783;Yes;03/04/2016;Resignation;Stress
2785;Yes;30/10/2016;Resignation;Others
2790;Yes;21/04/2016;Fired;NA
2794;Yes;17/04/2016;Resignation;Salary
2805;Yes;25/10/2016;Resignation;Others
2807;Yes;29/07/2016;Resignation;Others
2809;Yes;20/09/2016;Fired;NA
2810;Yes;10/02/2016;Resignation;Stress
2815;Yes;19/01/2016;Resignation;Others
2819;Yes;25/04/2016;Fired;NA
2823;Yes;03/03/2016;Resignation;Others
2854;Yes;20/10/2016;Resignation;Stress
2860;Yes;12/04/2016;Resignation;Salary
2865;Yes;11/06/2016;Resignation;Salary
2875;Yes;19/02/2016;Resignation;Others
2887;Yes;19/09/2016;Resignation;Others
2888;Yes;05/08/2016;Resignation;Others
2893;Yes;22/01/2016;Resignation;Others
2897;Yes;13/12/2016;Resignation;Others
2899;Yes;04/03/2016;Resignation;Salary
2900;Yes;22/07/2016;Resignation;Others
2912;Yes;02/01/2016;Resignation;Salary
2917;Yes;15/11/2016;Resignation;Others
2919;Yes;08/08/2016;Resignation;Stress
2922;Yes;10/10/2016;Resignation;Salary
2933;Yes;10/10/2016;Resignation;Stress
2942;Yes;19/03/2016;Resignation;Salary
2947;Yes;03/03/2016;Resignation;Stress
2954;Yes;05/11/2016;Resignation;Others
2969;Yes;06/09/2016;Resignation;Salary
2971;Yes;15/07/2016;Fired;NA
2976;Yes;14/01/2016;Resignation;Salary
2979;Yes;10/02/2016;Resignation;Stress
3000;Yes;13/12/2016;Resignation;Others
3006;Yes;10/07/2016;Resignation;Salary
3010;Yes;10/02/2016;Resignation;Salary
3019;Yes;19/05/2016;Resignation;Others
3040;Yes;04/01/2016;Resignation;Stress
3046;Yes;04/04/2016;Resignation;Salary
3049;Yes;09/06/2016;Resignation;Salary
3051;Yes;17/11/2016;Resignation;Salary
3053;Yes;14/11/2016;Resignation;Stress
3061;Yes;29/08/2016;Resignation;Others
3065;Yes;15/03/2016;Resignation;Stress
3068;Yes;26/01/2016;Resignation;Others
3088;Yes;24/01/2016;Resignation;Salary
3097;Yes;31/08/2016;Resignation;Stress
3098;Yes;09/02/2016;Resignation;Others
3104;Yes;30/10/2016;Resignation;Salary
3105;Yes;12/11/2016;Resignation;Salary
3118;Yes;27/01/2016;Fired;NA
3119;Yes;15/05/2016;Fired;NA
3122;Yes;22/03/2016;Resignation;Salary
3123;Yes;29/09/2016;Resignation;Stress
3126;Yes;01/06/2016;Resignation;Others
3136;Yes;14/12/2016;Resignation;Others
3140;Yes;25/03/2016;Resignation;Stress
3146;Yes;23/05/2016;Resignation;Others
3152;Yes;31/10/2016;Resignation;Others
3162;Yes;15/12/2016;Fired;NA
3163;Yes;23/09/2016;Resignation;Stress
3165;Yes;28/11/2016;Resignation;Stress
3178;Yes;28/01/2016;Fired;NA
3187;Yes;02/12/2016;Resignation;Others
3196;Yes;05/11/2016;Resignation;Salary
3197;Yes;27/10/2016;Resignation;Others
3208;Yes;03/06/2016;Resignation;Stress
3211;Yes;07/06/2016;Resignation;Others
3223;Yes;13/11/2016;Fired;NA
3230;Yes;20/08/2016;Resignation;Others
3245;Yes;25/08/2016;Resignation;Salary
3249;Yes;24/08/2016;Resignation;Others
3251;Yes;07/03/2016;Resignation;Salary
3256;Yes;24/02/2016;Resignation;Salary
3268;Yes;19/05/2016;Resignation;Others
3272;Yes;28/05/2016;Resignation;Others
3274;Yes;24/06/2016;Resignation;Stress
3278;Yes;05/01/2016;Resignation;Others
3281;Yes;19/06/2016;Resignation;Others
3290;Yes;04/05/2016;Resignation;Stress
3291;Yes;24/06/2016;Resignation;Others
3297;Yes;13/02/2016;Resignation;Salary
3319;Yes;23/06/2016;Resignation;Salary
3328;Yes;07/11/2016;Resignation;Others
3339;Yes;16/01/2016;Resignation;Salary
3343;Yes;16/07/2016;Resignation;Others
3345;Yes;20/02/2016;Resignation;Salary
3346;Yes;15/01/2016;Resignation;Others
3349;Yes;09/09/2016;Resignation;Others
3350;Yes;06/07/2016;Resignation;Stress
3352;Yes;07/10/2016;Resignation;Others
3366;Yes;30/08/2016;Resignation;Stress
3371;Yes;29/05/2016;Resignation;Salary
3372;Yes;14/01/2016;Resignation;Others
3376;Yes;04/07/2016;Resignation;Stress
3378;Yes;24/01/2016;Resignation;Salary
3383;Yes;27/11/2016;Resignation;Stress
3389;Yes;05/02/2016;Resignation;Stress
3392;Yes;01/10/2016;Resignation;Salary
3394;Yes;22/02/2016;Resignation;Others
3403;Yes;06/08/2016;Resignation;Stress
3408;Yes;17/05/2016;Fired;NA
3414;Yes;25/07/2016;Resignation;Others
3415;Yes;19/10/2016;Resignation;Others
3427;Yes;21/06/2016;Resignation;Stress
3431;Yes;30/07/2016;Resignation;Stress
3432;Yes;03/05/2016;Fired;NA
3435;Yes;11/01/2016;Fired;NA
3444;Yes;23/01/2016;Resignation;Others
3445;Yes;21/11/2016;Resignation;Others
3459;Yes;31/01/2016;Resignation;Others
3460;Yes;14/04/2016;Resignation;Stress
3462;Yes;22/02/2016;Resignation;Stress
3463;Yes;11/12/2016;Resignation;Others
3472;Yes;30/08/2016;Resignation;Others
3474;Yes;16/12/2016;Resignation;Salary
3475;Yes;21/10/2016;Resignation;Salary
3479;Yes;09/02/2016;Resignation;Others
3480;Yes;20/02/2016;Resignation;Salary
3481;Yes;02/01/2016;Resignation;Others
3483;Yes;06/02/2016;Fired;NA
3484;Yes;05/12/2016;Resignation;Others
3496;Yes;04/03/2016;Resignation;Others
3511;Yes;17/07/2016;Resignation;Others
3512;Yes;02/11/2016;Resignation;Others
3514;Yes;08/04/2016;Resignation;Others
3519;Yes;10/12/2016;Resignation;Stress
3521;Yes;09/11/2016;Resignation;Salary
3525;Yes;11/04/2016;Resignation;Stress
3532;Yes;11/04/2016;Resignation;Others
3540;Yes;09/12/2016;Resignation;Stress
3543;Yes;11/08/2016;Fired;NA
3547;Yes;28/02/2016;Resignation;Salary
3554;Yes;20/02/2016;Resignation;Others
3575;Yes;13/09/2016;Resignation;Others
3594;Yes;27/08/2016;Resignation;Stress
3596;Yes;15/01/2016;Resignation;Others
3598;Yes;19/04/2016;Resignation;Stress
3611;Yes;14/02/2016;Resignation;Others
3615;Yes;05/03/2016;Resignation;Others
3622;Yes;09/06/2016;Resignation;Salary
3623;Yes;01/06/2016;Resignation;Others
3629;Yes;23/06/2016;Resignation;Salary
3630;Yes;28/10/2016;Resignation;Others
3635;Yes;18/01/2016;Resignation;Others
3636;Yes;07/11/2016;Resignation;Others
3649;Yes;29/03/2016;Resignation;Others
3658;Yes;22/04/2016;Resignation;Others
3663;Yes;11/08/2016;Resignation;Others
3664;Yes;11/05/2016;Resignation;Others
3668;Yes;18/08/2016;Resignation;Salary
3680;Yes;25/01/2016;Resignation;Others
3689;Yes;02/03/2016;Resignation;Others
3690;Yes;26/06/2016;Resignation;Others
3695;Yes;07/04/2016;Resignation;Stress
3699;Yes;04/02/2016;Resignation;Others
3704;Yes;24/03/2016;Resignation;Salary
3714;Yes;14/10/2016;Resignation;Salary
3715;Yes;29/05/2016;Fired;NA
3716;Yes;18/05/2016;Resignation;Stress
3719;Yes;27/06/2016;Resignation;Others
3722;Yes;10/09/2016;Resignation;Others
3739;Yes;17/10/2016;Resignation;Salary
3740;Yes;28/01/2016;Resignation;Others
3741;Yes;26/11/2016;Resignation;Salary
3743;Yes;05/01/2016;Resignation;Others
3751;Yes;23/03/2016;Resignation;Others
3760;Yes;04/07/2016;Resignation;Salary
3766;Yes;01/06/2016;Fired;NA
3768;Yes;04/10/2016;Resignation;Others
3789;Yes;12/05/2016;Resignation;Salary
3793;Yes;09/06/2016;Resignation;Others
3794;Yes;01/11/2016;Fired;NA
3795;Yes;08/11/2016;Fired;NA
3819;Yes;29/06/2016;Resignation;Salary
3836;Yes;18/02/2016;Resignation;Stress
3845;Yes;22/04/2016;Resignation;Stress
3850;Yes;21/01/2016;Resignation;Others
3854;Yes;24/06/2016;Resignation;Salary
3869;Yes;24/04/2016;Resignation;Salary
3884;Yes;08/01/2016;Resignation;Stress
3887;Yes;07/02/2016;Resignation;Others
3888;Yes;18/05/2016;Fired;NA
3896;Yes;17/04/2016;Resignation;Salary
3905;Yes;06/03/2016;Resignation;Others
3906;Yes;20/11/2016;Resignation;Salary
3919;Yes;31/10/2016;Resignation;Others
3920;Yes;14/08/2016;Resignation;Salary
3929;Yes;22/03/2016;Resignation;Others
3932;Yes;31/03/2016;Resignation;Salary
3938;Yes;17/11/2016;Resignation;Others
3940;Yes;18/08/2016;Resignation;Salary
3945;Yes;08/07/2016;Resignation;Stress
3954;Yes;26/03/2016;Resignation;Others
3956;Yes;06/02/2016;Resignation;Stress
3962;Yes;27/09/2016;Resignation;Salary
3964;Yes;03/12/2016;Resignation;Salary
3973;Yes;11/11/2016;Resignation;Others
3974;Yes;14/04/2016;Resignation;Others
3980;Yes;13/07/2016;Resignation;Others
3981;Yes;18/02/2016;Resignation;Others
3995;Yes;05/03/2016;Resignation;Others
3996;Yes;16/07/2016;Resignation;Others
4009;Yes;18/03/2016;Resignation;Others
4015;Yes;29/03/2016;Resignation;Others
4016;Yes;28/10/2016;Resignation;Salary
4021;Yes;27/06/2016;Resignation;Salary
4022;Yes;24/07/2016;Resignation;Others
4036;Yes;22/10/2016;Resignation;Others
4037;Yes;27/05/2016;Resignation;Salary
4048;Yes;04/05/2016;Resignation;Others
4052;Yes;21/08/2016;Resignation;Others
4058;Yes;30/09/2016;Resignation;Stress
4062;Yes;09/05/2016;Resignation;Salary
4073;Yes;15/01/2016;Resignation;Salary
4078;Yes;27/09/2016;Resignation;Salary
4079;Yes;14/07/2016;Resignation;Others
4121;Yes;27/01/2016;Resignation;Salary
4125;Yes;15/11/2016;Fired;NA
4127;Yes;24/10/2016;Resignation;Salary
4135;Yes;15/04/2016;Resignation;Stress
4144;Yes;23/02/2016;Resignation;Others
4153;Yes;10/12/2016;Resignation;Others
4155;Yes;31/01/2016;Resignation;Stress
4167;Yes;13/11/2016;Resignation;Others
4174;Yes;22/11/2016;Resignation;Others
4177;Yes;17/10/2016;Resignation;Salary
4179;Yes;04/08/2016;Resignation;Others
4186;Yes;09/02/2016;Resignation;Others
4187;Yes;08/02/2016;Resignation;Salary
4189;Yes;05/09/2016;Resignation;Salary
4195;Yes;26/06/2016;Resignation;Others
4198;Yes;10/10/2016;Fired;NA
4203;Yes;17/09/2016;Resignation;Others
4204;Yes;28/02/2016;Resignation;Salary
4222;Yes;19/11/2016;Resignation;Stress
4242;Yes;28/09/2016;Resignation;Others
4253;Yes;11/08/2016;Resignation;Stress
4255;Yes;07/08/2016;Resignation;Stress
4260;Yes;14/05/2016;Resignation;Others
4264;Yes;25/04/2016;Resignation;Others
4275;Yes;07/09/2016;Resignation;Others
4277;Yes;19/10/2016;Resignation;Others
4279;Yes;05/02/2016;Resignation;Stress
4280;Yes;22/06/2016;Resignation;Salary
4285;Yes;07/02/2016;Resignation;Stress
4289;Yes;28/06/2016;Resignation;Others
4293;Yes;01/06/2016;Resignation;Salary
4324;Yes;03/01/2016;Resignation;Others
4330;Yes;07/04/2016;Resignation;Stress
4335;Yes;19/05/2016;Resignation;Salary
4345;Yes;08/06/2016;Resignation;Stress
4357;Yes;11/05/2016;Resignation;Stress
4358;Yes;21/10/2016;Resignation;Stress
4363;Yes;02/10/2016;Fired;NA
4367;Yes;19/06/2016;Fired;NA
4369;Yes;01/06/2016;Resignation;Others
4370;Yes;06/07/2016;Resignation;Others
4382;Yes;18/04/2016;Resignation;Salary
4387;Yes;16/09/2016;Resignation;Others
4389;Yes;24/05/2016;Resignation;Others
4392;Yes;26/02/2016;Fired;NA
4403;Yes;26/01/2016;Resignation;Stress
